Ground Truth,Language,Comments
Positive,Roman Urdu,Wha g wha
Positive,Roman Urdu,Bhai iske series chahiye plz
Positive,Roman Urdu,b love you higaya
Positive,Roman Urdu,Ye new format  jaada mast lagta h
Positive,Roman Urdu,Allah pak. Khush rkhy hamesha ap Sab ko Ameen
Positive,Roman Urdu,hayeee Qurban Gao ❤️
Positive,Roman Urdu,Aik 👁️chotii aik👁️barii q lag rahi hy mjhay🤔🤔
Positive,Roman Urdu,Hahhaha samjh rhe kiski le li apne
Positive,Roman Urdu,Love you navjot bhai ap KO jb 3k followers the TB she follow or RHA gun pehle bhi key China gun kid field mein agye comedian ho na chahiye tha hr chez KO is I way mein roast kr k video bnaya krein
Positive,Roman Urdu,Mubarak hu my crush
Positive,Roman Urdu,Alto mehran ko 4*4 banany wali machine hay
Positive,Roman Urdu,Mashallah Allah pak aap donon ko salamat rakhe
Positive,Roman Urdu,Bhai isika wait kr raha tha
Positive,Roman Urdu,Kashmiri hareesa 🤤
Positive,Roman Urdu,ya Kon h
Positive,Roman Urdu,I like you video kafi baar dekha maza aaya
Positive,Roman Urdu,So pretty look all sister in one frame mashallah jalde shadi ke pic be dayk ne hay
Positive,Roman Urdu,Awww so sweet and beautiful  bhuttt pyari lg rhy ty ap sb mn na apka sara vlog dekhy hn ur apka vlog mehndi wli top 1 trending pa tha
Positive,Roman Urdu,Please hania India bapas aa jao
Positive,Roman Urdu,Actor ha bhai actor ha
Positive,Roman Urdu,Allah AP sb  ko ameshhaaa khushh rakee ameeeeen
Positive,Roman Urdu,Sam Bahadur is a masterpiece. If Vicky doesn't get National award for this fir National award pe bharosa nhi rahega
Positive,Roman Urdu,LIKE KARO JALDI JALDI SY 😂😅
Positive,Roman Urdu,ap chahy 100times bhi esi song pe video bana lain we will definitely like it
Positive,Roman Urdu,Kis se howa payar🥰
Positive,Roman Urdu,ek no. video bhaiya
Positive,Roman Urdu,"yar ab to thak gay hain poori tiktok pr aik hi song sun sun kr,, bs kr dein please 🤕🤪"
Positive,Roman Urdu,kia such o ho muje pata nai tha
Positive,Roman Urdu,Areeb Bhai best husband
Positive,Roman Urdu,❤️❤️❤️😍khubsurat
Positive,Roman Urdu,Jihad Bahadur Zindabaad
Positive,Roman Urdu,so nice ji
Positive,Roman Urdu,Bilkul
Positive,Roman Urdu,Masha'Allah!!!🥺❤️❤️
Positive,Roman Urdu,Kamal halwa pori
Positive,Roman Urdu,maa sha allah so cute
Positive,Roman Urdu,Gajab roasting krte ho
Positive,Roman Urdu,apnki khobsurti ka razz??
Positive,Roman Urdu,please support me account koi ham ko bhe support kar do 🥰
Positive,Roman Urdu,like to kro yrr
Positive,Roman Urdu,yr acting uff yar👏👏👏👏
Positive,Roman Urdu,Ma SHa Allah😍
Positive,Roman Urdu,Fatima main ap k papa ki fan hu ap mujy masg kr sakti ha main ap sb k vlog dekhti hu
Positive,Roman Urdu,Shandar👌💜
Positive,Roman Urdu,gujjus aur Pakistan ka alag hi rishta hai 💀🙌
Positive,Roman Urdu,"ok ok bss last ab,😩👍"
Positive,Roman Urdu,Hana❤️🔥
Positive,Roman Urdu,5 videos ak hi din mae 🥰 Kya h gaya jaanat 😂😂
Positive,Roman Urdu,Ise hi video chahiye
Positive,Roman Urdu,Ap ka style End dxna
Positive,Roman Urdu,Chacha basa ka dhaaba chaa gayaa
Positive,Roman Urdu,tum real me to hona insaan hi doubtless
Positive,Roman Urdu,Yeah qeemay wali tikki nae rocket launcher hai
Positive,Roman Urdu,hayee 🥺
Positive,Roman Urdu,Maza aagya
Positive,Roman Urdu,Allah api k naseeb bht bht achy kry
Positive,Roman Urdu,okay love you hogaya
Positive,Roman Urdu,Bro has better shorts scripting than tmkoc
Positive,Roman Urdu,me ap ka bahra fin ho
Positive,Roman Urdu,Gujju ❤️‍🔥🥰
Positive,Roman Urdu,Allah Naseebo K Naseeb achy Kary fatima
Positive,Roman Urdu,like krte jao idhr
Positive,Roman Urdu,awesome Bhai
Positive,Roman Urdu,ap Bohot piyari lag rahi hai looking like Queen 👑💖🥰
Positive,Roman Urdu,"Aaai aaai aaai aaai ai😂😂😂me in my childhood in front of bathroom
Kysy kysy song bn ryly hn bhai"
Positive,Roman Urdu,🥰🥰🥰soni
Positive,Roman Urdu,MashAllah Allah khush rkhe ap sbko
Positive,Roman Urdu,Good ho gya
Positive,Roman Urdu,Love you hogia
Positive,Roman Urdu,shonii🔥🖤
Positive,Roman Urdu,Haseen
Positive,Roman Urdu,zbrdst
Positive,Roman Urdu,humy b pyr hua h 🥰🥰
Positive,Roman Urdu,Kashish Gupta ne Galat panga leliya ... haha
Positive,Roman Urdu,Baat to ye bhi sahi hai
Positive,Roman Urdu,kis say
Positive,Roman Urdu,Allha ap ko hadyat da
Positive,Roman Urdu,Sahi hai maza aa gaya
Positive,Roman Urdu,Hayeee jan lo gi kyaa🥹😍😍😍😍
Positive,Roman Urdu,Ab sirf IMRAN KHAN ❤️
Positive,Roman Urdu,jab tumko dekhta hun Dil ko Kya Ho jata Hai
Positive,Roman Urdu,Achi Lg rhi h ap🥰
Positive,Roman Urdu,Bhai nai shi vedio banai science ek limit Tak matter karti
Positive,Roman Urdu,Ufff Asi Bachi kahn say mily gii 🥺🥺🥺
Positive,Roman Urdu,ماشاء الله مولانا
Positive,Roman Urdu,koi nai bnao orr
Positive,Roman Urdu,Sab bahi achay lag rahy hoo pagrii ma
Positive,Roman Urdu,Fatima api ap sb sisters bhttt pyari cute hn r apki mama bhttttt zyada achi hn
Positive,Roman Urdu,hania ki nhi  honi  chaiye dekh shdi
Positive,Roman Urdu,Ma shaa Allah 💘😫
Positive,Roman Urdu,Hayee itnii cute😢😍
Positive,Roman Urdu,KITNi PYARI LAG RAHI HAIN 😍
Positive,Roman Urdu,Karahi
Positive,Roman Urdu,fist comnt jann
Positive,Roman Urdu,Mashallah beautiful allah pak buri nazar sai bachai ameen
Positive,Urdu,اقبال تیری چڑیا تین سال مزے لینے کے بعد کاٹ جاتی ہیں 🥺 ان کا کوئی پرمننٹ حل بتاؤ 😅🥀❤️💔
Positive,Urdu,آمین جانی 😍😍😍😍 بہت بہت شکریہ میری جان😘😘😘😘😘😘😘
Positive,Urdu,آئی جی سندھ اور پورے پولیس افسران کو سلام پیش کرتا ہوں 🤚❤️
Positive,Urdu,رشتے محبت سے خلوص دل سے بڑے مشکل سے ہی کسی سے بن پاتے ہیں اور یہ رشتے عزیز بھی ہوتے ہیں لیکن اکثر یہ ہی رشتے قربانی مانگتے ہیں لیکن بے ضرر سی۰۰۰ 🌹
Positive,Urdu,ماشاءاللہ ۔۔۔❤️
Positive,Urdu,شکریہ بھائی ❤️
Positive,Urdu,اک بار اس کو پیار سے میں نے کہا تھا چاند پھر یوں ہوا وہ شخص زمین پر نہیں رہا 🍀🍀🌴🌺💐💐🌹🌼🌼 اردو_زبان
Positive,Urdu,خاتم_النبیین_محمدﷺ 🌹 🌹 '' *آج کی نیکی* '' 🌹 إِنَّ اللّٰهَ هُوَ الرَّزَّاقُ ذُو الْقُوَّةِ الْمَتِينُ بیشک اللّٰه ہی ہر ایک کا ر…
Positive,Urdu,ماشاءاللہ بہت خوب
Positive,Urdu,میری قسمت میں بھی ایسا کوئی سجدہ کر دے جو میرے سارے گناہوں کا مداوہ کر دے میں تیرا چاہنے والا ھو مگر ہے حسرت جن کو تو چاہتا ہے مجھ کو بھی ویسا کردے اک نظر اپنے گناہگار پہ کر کہ مولا اپنی رحمت کا حق دار ہمیشہ کر دے ❤️❤️❤️❤️❤️❤️
Positive,Urdu,اگر آپ چاہتے ہیں کہ تمام ادارے اپنے آئینی حدود میں رہیں اور ملک اس طرح کی بحرانوں کا شکار نہ ہو تو پھر لازم ہے کہ آپ مولانا فضل الرحمن صاحب کا ساتھ دیں ⁦❤️⁩⁦✌️⁩ WeStandWithSindhPolice
Positive,Urdu,🌍دنیا بھر سے تازہ ترین کہیلوں کے خبریں حاصل کرنے کے لئے، ہمارے اکائونٹ کو فالو کریں 🌹 ھمارے ٹویٹ کو ریٹو…
Positive,Urdu,ہمارا دِل کس کے پاس ہے 🤔 💓💕💞
Positive,Urdu,عورت کے حَسیں نَقش و نِگار خوب سہی
Positive,Urdu,دل تہجد میں تھا فجر ہستی🌾🌾 ظہر یاراں میں عصریں قضا ہو گئیں🌾 پھر نا مغرب رکھی🌾🌾🌾🌾🌾 اس طرح زندگی کی عشاء ہو گئی🌾 💐💐🌹🌹🍀🌴🌴🌼🍃🍃🌾🌾🌷🌷 اردو_زبان
Positive,Urdu,ہمارے یہاں لاوے کے بہت سے اعوان تھے میں جب بھی بات کرتا تو کہتا ہمارے اعوان، ساڈے اعوان.. بہت سوں کو دیر تک یہی غلط فہمی رہی کہ میں بھی شاید اعوان ہوں.. اعوان ہمارا فخر ہیں چند ایک نکمے تو ہوتے ہی ہیں ہر جگہ.. ❤️
Positive,Urdu,شکریہ ملائکہ خوش رہیں آمین ❤️
Positive,Urdu,follow👆 400 فالورز کا اضافہ کریں🌹 لسٹ میں شامل ہونے کے لیے آئی ڈی مینشن کریں ریٹوئیٹ کریں 🌹 ریٹوئیٹ والوں کو فالو کریں اور فالو بیک دیں.. DostiGroup
Positive,Urdu,اے آکھو میرا کسی پارٹی نال کوئی تعلق نہیں لیکن میرا لیڈر نوازشریف ہے ❤️
Positive,Urdu,میں گواہی دیتی ہوں کہ فاطمہ س کائنات کی سب سے سچی خاتون ہیں ❤️⁩
Positive,Urdu,گھر سے جاب کرنے کے فائدے جب دل چاہا کھانا بناؤ بچوں کو اسکول سے لے کر آو اور بریک پہ Exercise کرو 😘😉
Positive,Urdu,' جب خود کو دنیا سے بیزار پائیں قرآن اٹھائیں، سینے سے لگائیں، اور اللہ کے ہو جائیں_ '' ❤️
Positive,Urdu,نائس سیاسی ٹویٹ ڈئیر ❤️
Positive,Urdu,بادشاہ ❤️❤️❤️❤️❤️
Positive,Urdu,آمین آپ بھی شاد و آباد رہیں 🌹
Positive,Urdu,خاتم_النبیین_محمدﷺ 🌹 '' *آج کی نیکی* '' 🌹 آپﷺ نےفرمایا مسلمان کےمسلمان پر پانچ حق ہیں سلام کا جواب دینا،مریض کا مزاج معلوم کرن…
Positive,Urdu,بے شک اللہ کو اسلام پسند ہے ❤️
Positive,Urdu,لا پرواہ سا ____ہوں ... مگر تیری پرواہ_____بہت کرنے لگا ہوں.. ☺💗
Positive,Urdu,بہت شکریہ ادا حفیظ بھٹو۔💗🌹👍
Positive,Urdu,😍😍😍😘😘😘 شکریہ پری جانی بہت بہت 😍😍😍اللہ پاک ہمیشہ سلامت رکھے ہماری خوشی پری کو آمین😘
Positive,Urdu,جزاك اللّه خيرًا سلامت رہیں🌹
Positive,Urdu,لا الہ الااللہ محمد رسول اللہ ❤️
Positive,Urdu,ہزار غلطیوں کے بعد بھی آپ اپنے آپ سے اتنا پیار کرتے ہو تو پھر کیوں کسی کی ایک غلطی پہ اس سے اتنی نفرت کرتے ہو 🌷شب بخیر 🌹
Positive,Urdu,کہتے ہیں جس سے محبت ہو جائے ... 😍😍 آنکھیں بند کرنے سے وہ نظر آتا ... 🙈🙈😘 میں نے آنکھیں بند کی مجھے نیند آگئی..😴🙈😩😞 پتہ نہیں میرا کیا بنے گا..🙊😜
Positive,Urdu,نہ حال پوچھتے ہو نہ سوال کرتے ہو بس روٹھے ہوئے ہو کمال کرتے ہو 🌹🌹🌹💐💐☘️🌾☘️☘️🌷🥀🍃🌼🌺🌴🌴🌴🌴🍀🍀 اردو_زبان
Positive,Urdu,گڈ نائٹ اللہ حافظ ⁦❤️⁩
Positive,Urdu,ذرا بد لحاظ سی لڑکی ہوں بہت ہی کم لوگوں کو راس آتی ہوں ثمن_بلوچ ❤️
Positive,Urdu,ماشاءاللہ بھائی
Positive,Urdu,آلَلَهّمًَّﷺ🕌🕋صَّلَِّﷺ🕌🕋وٌسَِـــلَِّمًْﷺ🕌🕋وٌَبًَآرِکْﷺْ🕌عٌلَﮯﷺنَِبًِيَِّنَِـــ-🕌🕋آلَلَهّمًَّﷺصَّلَِّﷺ🕌🕋وٌَسَِـــلَِّمًْﷺوٌَبًَآرِکْﷺْ🕌🕋عٌلَﮯﷺنَِبًِيَِّنَِـــآ🕌🕌ﷺمًُحًمًَّدٍﷺ-🌾🌹
Positive,Urdu,جو لوگ ایکٹو لائک اور ریٹوئیٹ کریں میری طرف سے اور میرے فالوورز کی طرف سے فالوبيک پکا❤️🙏
Positive,Urdu,شکریہ ویرے 💓😂😂😂🙏🏻
Positive,Urdu,لو یو ٹو تھری فور 😘😘😘😘
Positive,Urdu,🌹 خاتم_النبیین_محمدﷺ🌹 جان و دل اِس عقیدے پہ واریں گے ہم اولیں آخریں خاتم الانبیاء حفظِ ناموس پر آپ کی تاابد خم رہے یہ…
Positive,Urdu,اب تو ان سے ملنا اور بھی ضروری ہو گیا ہے سنا ہے ان کی آنکھوں میں میرا عکس نظر آتا ہے💓
Positive,Urdu,آپ اور نواز شریف صاحب شہباز شریف صاحب  کو بہت مبارک کہ آپ  کی حمایت سے 344 ووٹ کی بھاری اکثریت سے کامیابی ملی
Positive,Urdu,💗کی مُحمد ص ع و سے وفاء تُو نے تو ھم تیرے ھیں☝ 💗یہ جہاں چیز ھے کیا لوح قلم تیرے ھیں☝
Positive,Urdu,Mashallah اللّٰہ پاک اپکو خوش رکھے نصیب اچھے کریں آمین
Positive,Urdu,لاجواب عمدہ اعلٰی 👌 👌 👌 👌
Positive,Urdu,خاتم_النبیین_محمدﷺ درود_وقرآن Surat No 73 سورة المزمل Ayat No 6 اِنَّ نَاشِئَۃَ الَّیۡلِ ہِیَ اَشَدُّ وَطۡاً وَّ اَقۡوَمُ قِیۡلًا ؕ﴿۶﴾ بیشک رات کا اٹھنا وہ زیادہ دباؤ ڈالتا ہے اور بات خوب سیدھی نکلتی ہے 🌹🌹
Positive,Urdu,انشاء اللہ العزیز ❤️ ھم نے تو سنا تھا 25 تاریخ کو پتہ چلنا ھے؟
Positive,Urdu,ان شاء اللّٰہ 🇵🇰❤
Positive,Urdu,وفا سیکھنی ہے ... ... ... .. تو موت سے سیکھو جو ایک بار اپنا بنا لے پھر کسی اور کا ہونے نہیں دیتی 💔💔💔💔💔🌹🌹💐💐🌾🌾 اردو_زبان
Positive,Urdu,ہم نے تاخیر سے سیکھے ہیں محبت کےاصول ہم پہ لازم ہے ، ترا عشق دوبارہ کر لیں۔۔۔۔ 🌺 🌹 🌹 🌹 ❤️ ❤️ ❤️
Positive,Urdu,قولي متى 😭
Positive,Urdu,اللہ پاک بھائی عمر اور آپ کو ملا دے آمین ثم آمین🤲🤲
Positive,Urdu,نمازِ عشق کریں گے ادا مدینے میں❤️ انشاءاللہ 💗
Positive,Urdu,🌹بہت عمدہ👍
Positive,Urdu,شکریہ فضل خوش رہیں آمین ❤️
Positive,Urdu,سندھ پولیس آپ پورے ملک کا فخر ہیں 🌹🌹🌹🌹🌹 WeStandWithSindhPolice
Positive,Urdu,سوچ کر رکھناہماری سلطنت میں قدم 🌹 ھماری محبت کی قید میں ضمانت نہیں ھوتی🌹
Positive,Urdu,مینہ او مننہ زڑگیہ💗
Positive,Urdu,خدا کا زکر کریں زکر مصطفیٰ نہ کریں ہمارے منہ میں ہو ایسی ذباں خدا نہ کرے EidMiladUnNabi SAWW❤️
Positive,Urdu,اپنی اماں پہ گئ ہے 😋
Positive,Urdu,تتزوجيني🥺🥺
Positive,Urdu,😍😍شکریہ میری جان 🙈🙈😘😘😘😘 اللہ پاک بہت اچھے نصیب کرے آمین
Positive,Urdu,تم کبھی غلط نہیں کہتیں 😂
Positive,Urdu,ہمارا فخر ہے سندھ پولیس ❤️ WeStandWithSindhPolice
Positive,Urdu,نوازش بھائی ⁦❤️⁩
Positive,Urdu,شکریہ بہنا 🌹
Positive,Urdu,❤️ دیکھنا ہو تو مُحبّت کے عَزاداروں کو ناشناسائی کی دیوار گِرا کر دیکھیں '' محسن نقوی '' اردو_ادب poetry
Positive,Urdu,ماشاءاللہ 💓
Positive,Urdu,اللہ پاک مغفرت فرمائے آمین  بیچارا ہکلے کی ایکٹنگ اچھی کرتا تھا
Positive,Urdu,*_اک حسیں آنکھ کے اشارے پر_* *_قافلے راہ بھول جاتے ہیں۔۔۔ _*😘❤️ محفل_سخن ادب_کا_سفر
Positive,Urdu,*سجدوں سے تعلق بنا کے رکھو جوانی بار بار نہیں ملتی۔🙃🥀✨* Mehdvi ❤️🙃 ...
Positive,Urdu,عمیر کا فین ہوں سمی میری وار سے 😊🌹
Positive,Urdu,*حرف الراء* *رشتہ* *★ ... کوئی ٹوٹے تو اسے بنانا سیکھو کوئی روٹھے تو اسے منانا سیکھو رشتے تو ملتے ہیں مقدر سے بس اسے خوبصورتی سے نبھانا سیکھو ... ★* 💞💞💞
Positive,Urdu,واہ واہ واہ ہماری جانب سے بھی آپکی اس شاعری پہ لال سلام آپا ❤️
Positive,Urdu,ایک دھاگے کی لاج رکھنے کو موم کا روم روم جلتا ہے 🌷🌷🌾🌾🌺🌴🌴🥀🌼🌹🌹🍀🍀🍃🍃🍃🍃🍃🍃 اردو_زبان
Positive,Urdu,لک تروڑ دیا
Positive,Urdu,🌹سیاستدانوں پی ڈی ایم کے بعد سندھ پولیس نے خاموشی کیساتھ ایک نئی تاریخ رقم کردی🌹👍 اب دیکھنا یہ ھے کہ اداروں کی آذادی کے…
Positive,Urdu,اس مولوی کا جس نے 2018 الیکشن کے فوری بعد سٹینڈ لیا اور پھر آہستہ آہستہ سب نے سٹینڈ لینا شروع کیا 😘
Positive,Urdu,شکریہ شاسہ خوش رہیں آمین ❤️
Positive,Urdu,سو فیصد سچ 💓😂🙏🏻
Positive,Urdu,23Mمتابع بعد شتريدين أكثر من هاذ😂
Positive,Urdu,اللَّهُمَّ صَل عَلٰی سَيِد ِنَا مُحَمَّدٍ وَّعَلٰٓی اٰلِہٖ وَسَلِّمْ❤️
Positive,Urdu,بریکنگ_______نیوز______پاکستانیوں عمران خان کی قیادت میں کل پاکستان⁦🇵🇰⁩گرے لسٹ سے نکل کر وائٹ لسٹ میں چلا جائے گا 💞 انشاء اللہ 💗🌹 مودی اور ان کی ناجائز اولاد کے منہ پر طمانچہ مارے گا ⁦✌️⁩💪💪👇👇
Positive,Urdu,پاکستان والے نام♻️ مینشن کریں ... ❤️💚 PakistanArmy
Positive,Urdu,عہدِ نو کی کتاب ہیں ہم لوگ ، آگہی کا نصاب ہیں ہم لوگ، بے سبب ہم عیاں نہیں ہوتے، ورنہ تعبیرِخواب ہیں ہم لوگ، دیکھتا ہے جہاں حیرت سے، گوہر آب و تاب ہیں ہم لوگ، تم فراموش کر نہیں سکتے، بانیء انقلاب ہیں ہم لوگ۔ ❤️❤️❤️
Positive,Urdu,جو روشن کردے قبر کو وہ عبادت نماز ہے❤️
Positive,Urdu,جب قرآن کو ہاتھ میں پکڑا کریں تو سوچا کریں کہ یہ میری قبر کا ساتھی ہے پھر دیکھیے گا کتنا پیار آتا آپکو قرآن پر❤️✨♥️
Positive,Urdu,لا الہ الا اللہ 💕
Positive,Urdu,خوبصورت 💚✨🌙
Positive,Urdu,جعلی نواز شریف یقین کرو آپ اصلی والے نواز شریف سے اچھے ہے I love 🌹
Positive,Urdu,مرزا صاحب زندہ باد۔ ۔۔۔ گمراہ دیوبندی مردہ باد۔
Positive,Urdu,کرنی ہے تو دل سے محبت کرنا ہم محبت کے طلب گار ہیں رحم کے نہیں 🥀🥀🥀🌴🌴🌹💐💐🍀🌾🌷🌷🌷🌷🌷🌷🌷 اردو_زبان
Positive,Urdu,آج میرا اپنے ❤️ دل ❤️ کی بات کہنے کو ❤️ دل ❤️ چاہ رہا ہے 💓
Positive,Urdu,پاسدار قاسـ🌹ـم سلیـ🇮🇷ـمانے جانبـاز قاسـ🌹ـم سلیـ🇮🇷ـمانے شـهیـد قاسـ🌹ـم سلیـ🇮🇷ـمانے ... توۍ دنیا چه مدالے باقے مانده بود ڪه به دستش نیاوردۍ🕊 سَـ🌷ـرادر دل‌ها؟ مخلصیم_سردار خاطره_شهید ما_ملت_امام_حسینیم ☫
Positive,Urdu,رات زُلفوں میں ڈُوب جاتی ہے، دن نِکلتا ہے اُس کی آنکھوں میں ❤️ M اردو_زبان
Positive,Urdu,ہاتھ لگانے کی اوقات نہیں تھی کسی کی تیری محبت نے کھینچ کھینچ کے تمانچے مارے ضیا ساگر 🥀🥀🌺🌾🌾🍃🍀🍀🌴🌼 اردو_زبان 🌼☘️🌹🌹🌹🌹
Positive,Urdu,🌹 گھر سجانے کا کام باقی ہے اپنی تصویر کیوں نہیں دیتے
Neutral,English,"Pretty sure he crashed it. Then got it fixed, then sold it . Great taste, one of a kind that F1 ."
Neutral,English,I'd like to imagine that he was an absolute animal on the highway with this car lmao
Neutral,English,He drove the hell out of it and still sold it for a tidy profit.
Neutral,English,And the three-wheeled vehicle?
Neutral,English,"Lives not far from me, pretty sure we followed him a while back, not many McLarens around here!"
Neutral,English,Didn't he wrap it round a Lamp Post in Chelsea in true Mr Bean Style
Neutral,English,Suddenly looks like Clooney?
Neutral,English,He crashed it and guess what? It went up in value
Neutral,English,Didn’t he crash it tho?
Neutral,English,Didnt he have the biggest insurance claim ever on this?
Neutral,English,"Maclaren is Rowan Atkinsons car, not Mr Beans, Mr Bean owns and drives a mini."
Neutral,English,Nah that's not him..the real one drives a Mini
Neutral,English,They support Israel
Neutral,English,He crashed it sold it and still made a profit
Neutral,English,Playing music of course
Neutral,English,like
Neutral,English,For my car it plays music
Neutral,English,Elephant 🐘
Neutral,English,"Rowan atkinson, Mr. Bean drove a Mini"
Neutral,English,He really drove it crazy check the tyre and the hood
Neutral,English,"Mr bean has been bought by tv networks all over the world, that’s why he can afford this car"
Neutral,English,(B) Charging The Battery
Neutral,English,So what .......
Neutral,English,How rich was this guy?
Neutral,English,For Build off road version
Neutral,English,I came across this car about 24 years ago. Rowan Atkinson was across the road in Rick Stein’s restaurant in Padstow
Neutral,English,Boycott
Neutral,English,"Crashed more than once, repaired, and auctioned for millions."
Neutral,English,O god he is ok
Neutral,English,Big step from a mini
Neutral,English,Oho get up
Neutral,English,cake
Neutral,English,Too bad I work a 8am-10pm on regular basis
Neutral,English,I wonder if he removes the steering wheel
Neutral,English,play music
Neutral,English,Where's his mini
Neutral,English,I'm sure he crashed this car
Neutral,English,Which he wrote off twice.
Neutral,English,Crashed it down the road from me nr oundle
Neutral,English,The ppl who have watched animal are watching sam bahadur now.
Neutral,English,Made by SUZUKI
Neutral,English,A playing music
Neutral,English,For charging battery
Neutral,English,"He actually uses it every day and has put about 40k on it, which is unheard of for a super car. I think he crashed it too. Just uses it for what he's paid for."
Neutral,English,Name Movie???
Neutral,English,Many years ago now the car is damage and broken
Neutral,English,This is fake news
Neutral,English,There's a cutout on McLaren F1's headlight. What is the purpose of it?
Neutral,English,That he crashed. Twice.
Neutral,English,No its hes mini cooper with new colour and spoilers
Neutral,English,English Horse 🐴
Neutral,English,English horse
Neutral,English,Idéal to modify at Japan’s Shop RWB
Neutral,English,Vaccine clot shot
Neutral,English,"I think i read somewhere that he has crashed it like 3 times, that's crazy"
Neutral,English,Would not let him loose with a wheel barrow
